Order,Title,Author,Year,Genres,Number of pages,Reading time,Reread?,Month finished,Favourite?
67,The Screaming Staircase,Jonathan Stroud,2013,"fantasy, fiction, horror, young adult",384,3:41,No,July,No
68,My Favorite Half-Night Stand,Christina Lauren,2018,"fiction, romance",384,3:04,No,July,No
69,The Secret History,Donna Tartt,1992,"fiction, thriller",576,8:50,No,July,No
70,Stern Men,Elizabeth Gilbert,2000,fiction,320,5:09,No,July,No
71,Borne,Jeff VanderMeer,2017,"fiction, science fiction",336,5:37,No,July,No
72,The Amulet of Samarkand,Jonathan Stroud,2003,"fantasy, fiction, young adult",462,4:54,Yes,July,Yes
73,The Two Princesses of Bamarre,Gail Carson Levine,2001,"fantasy, fiction, young adult",256,,Yes,July,No
74,The Enchanted April,Elizabeth von Arnim,1922,"classic, fiction",240,4:23,No,August,Yes
75,"Big Summer ",Jennifer Weiner,2020,"fiction, mystery, romance",368,5:13,No,August,No
76,The Royal We,Heather Cocks; Jessica Morgan,2015,"fiction, romance",624,9:03,No,August,No
77,The Heir Affair,Heather Cocks; Jessica Morgan,2020,"fiction, romance",464,7:22,No,August,No
78,My Brilliant Friend,Elena Ferrante,2012,"fiction, historical fiction",336,7:06,No,August,No
79,All I Ask,Eva Crocker,2020,fiction,320,3:54,No,August,No
80,A Florence Diary,Diana Athill,2016,"biography, nonfiction",80,1:06,No,August,No
81,Highly Illogical Behavior,John Corey Whaley,2016,"fiction, young adult",256,2:27,No,August,No
82,Shadow and Bone,Leigh Bardugo,2012,"fantasy, fiction",380,,No,August,No
83,The Merlin Conspiracy,Diana Wynne Jones,2003,"fantasy, fiction, young adult",473,7:29,No,September,Yes
84,City of Masks,Mary Hoffman,2002,"fantasy, fiction, historical fiction, young adult",345,4:30,Yes,September,No
85,Total alles über den Schwarzwald,Jens Schäfer,2020,"german, graphic novel, nonfiction",112,,No,September,No
86,North and South,Elizabeth Gaskell,1854,"classic, fiction",480,11:51,No,September,No
87,Remember Me?,Sophie Kinsella,2008,fiction,400,3:49,No,September,No
88,Power of Three,Diana Wynne Jones,1976,"fantasy, fiction, young adult",336,4:09,No,September,Yes
89,The Invisible Library,Genevieve Cogman,2015,"fantasy, fiction, historical fiction, science fiction",336,5:47,No,September,No
90,Brave New World,"Aldous Huxley ",1932,"classic, fiction, science fiction",311,4:05,No,September,No
91,"Where'd You Go, Bernadette",Maria Semple,2012,"epistolary, fiction",351,3:31,No,September,No
92,The Revenge of Analog,David Sax,2016,nonfiction,304,4:50,No,September,No
93,The Quantum Weirdness of the Almost Kiss,Amy Noelle Parks,2021,"fiction, romance, young adult",384,4:01,No,October,No
94,The Little Paris Bookshop,Nina George,2013,"fiction, romance",416,5:28,No,October,Yes
95,Les Liaisons dangereuses,Pierre Choderlos de Laclos,1782,"classic, epistolary, fiction, french",478,,Yes,October,No
96,Atomic Habits,James Clear,2018,nonfiction,270,,No,October,No
97,L'élégance du hérisson,Muriel Barbery,2006,"fiction, french",356,,Yes,October,Yes
98,Une gourmandise,Muriel Barbery,2000,"fiction, french",142,,No,October,No
99,The Alchemist,Paulo Coelho,1988,"classic, fantasy, fiction",208,2:14,Yes,October,No
100,Midnight in the Garden of Good and Evil,John Berendt,1994,"biography, nonfiction",389,6:53,No,November,No
101,The Flame,Leonard Cohen,2018,"nonfiction, poetry",288,4:07,No,November,No
102,The Chrysalids,John Wyndham,1955,"fantasy, fiction, science fiction",208,4:04,No,November,No
103,One Flew Over the Cuckoo's Nest,Ken Kesey,1962,"classic, fiction",320,6:06,No,November,No
104,The Honey-Don't List,Christina Lauren,2020,"fiction, romance",320,3:44,No,November,No
105,A Little Princess,Frances Hodgson Burnett,1905,"children's, classic, fiction",224,,Yes,November,Yes
106,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,1987,"fiction, historical fiction",403,3:51,No,December,No
107,The No. 1 Ladies' Detective Agency,Alexander McCall Smith,1998,"fiction, mystery",256,2:43,No,December,No
108,Me Talk Pretty One Day,David Sedaris,2000,"biography, nonfiction",288,3:26,No,December,No
109,The Professor and the Puzzle,Carolyn Keene,2017,"fiction, mystery, young adult",192,1:26,No,December,No
110,Crazy Rich Asians,Kevin Kwan,2013,"fiction, romance",544,6:11,No,December,No
111,The Inconvenient Indian,Thomas King,2012,nonfiction,336,5:34,No,December,No
112,I’ve Got Your Number,Sophie Kinsella,2012,"fiction, romance",448,3:46,Yes,December,Yes
113,We,Yevgeny Zamyatin,1924,"fiction, science fiction",226,4:46,No,December,No
